Time,Direction,Date,Pn (umol/m2/s),PAR (umol/m2/s),gs (mol/m2/s),WUE (umol/mol),Ta (degree C),VPD (Pa)
14.85976628,North,01-Oct,-0.864430798,158.4478577,0.065471869,-13.41037942,15.21519969,572.3291307
16.33222037,North,01-Oct,-2.047709022,80.0323363,0.064110708,-32.38116005,13.50911206,408.0955541
10.49582638,South,01-Oct,3.075106282,980.5982215,0.087794918,34.99781945,15.65141528,715.8261447
11.25041736,South,01-Oct,2.409069438,358.1244947,0.098820327,24.7928478,17.21209771,886.6954214
12.25208681,South,01-Oct,0.531412376,932.9021827,0.053493648,10.27038814,17.01822412,847.7106835
13.33055092,South,01-Oct,0.17005196,573.9692805,0.044646098,5.429568251,16.90189996,817.8500332
14.19532554,South,01-Oct,0.864430798,825.3839935,0.049410163,17.72786742,17.10546724,781.3536828
14.86644407,South,01-Oct,0.538497874,700.8892482,0.04137931,11.97121675,15.21519969,572.3291307
16.33555927,South,01-Oct,-1.877657062,113.1770412,0.044646098,-44.67945922,13.50911206,408.0955541
10.49916528,West,01-Oct,-2.671232877,133.3872272,0.030353902,-88.77017008,15.65141528,715.8261447
11.24707846,West,01-Oct,-1.360415683,654.0016168,0.030898367,-45.72612298,17.21209771,886.6954214
12.24207012,West,01-Oct,-0.510155881,103.476152,0.051179673,-10.79372002,17.01822412,847.7106835
13.33388982,West,01-Oct,2.111478507,958.7712207,0.071188748,29.1103358,16.90189996,817.8500332
14.19866444,West,01-Oct,0.474728389,917.5424414,0.044101633,10.0087222,17.10546724,781.3536828
14.86644407,West,01-Oct,1.905999055,792.2392886,0.076905626,24.53118186,15.21519969,572.3291307
16.32888147,West,01-Oct,-3.032593292,132.5788197,0.018375681,-173.4191016,13.50911206,408.0955541
